Time,kWh
07/12/2022 00:00,0.1747
08/12/2022 00:00,0.3611
09/12/2022 00:00,0.7007
10/12/2022 00:00,0.6216
11/12/2022 00:00,0.0937
12/12/2022 00:00,0.2777
13/12/2022 00:00,0.7083
14/12/2022 00:00,0.6773
15/12/2022 00:00,0.606
16/12/2022 00:00,0.3768
17/12/2022 00:00,0.7172
18/12/2022 00:00,0.5165
19/12/2022 00:00,0.5971
20/12/2022 00:00,0.5843
21/12/2022 00:00,0.6589
22/12/2022 00:00,0.572
23/12/2022 00:00,0.7182
24/12/2022 00:00,0.7019
25/12/2022 00:00,0.6791
26/12/2022 00:00,0.6122
27/12/2022 00:00,0.6685
28/12/2022 00:00,0.7179
29/12/2022 00:00,0.7103
30/12/2022 00:00,0.7288
31/12/2022 00:00,0.7054
01/01/2023 00:00,0.7072
02/01/2023 00:00,0.7308
03/01/2023 00:00,0.715
04/01/2023 00:00,0.6929
05/01/2023 00:00,0.7059
06/01/2023 00:00,0.7178
07/01/2023 00:00,0.6654
08/01/2023 00:00,0.6794
09/01/2023 00:00,0.6937
10/01/2023 00:00,0.5188
11/01/2023 00:00,0.5859
12/01/2023 00:00,1.5282
13/01/2023 00:00,0.7547
14/01/2023 00:00,0.7399
15/01/2023 00:00,0.7255
16/01/2023 00:00,0.7252
17/01/2023 00:00,0.5296
18/01/2023 00:00,0.4172
19/01/2023 00:00,0.5985
20/01/2023 00:00,0.7069
21/01/2023 00:00,0.6616
22/01/2023 00:00,0.715
23/01/2023 00:00,0.7008
24/01/2023 00:00,0.7122
25/01/2023 00:00,0.7157
26/01/2023 00:00,0.7108
27/01/2023 00:00,0.7138
28/01/2023 00:00,0.7357
29/01/2023 00:00,0.7049
30/01/2023 00:00,0.699
31/01/2023 00:00,0.6681
01/02/2023 00:00,0.6704
02/02/2023 00:00,0.6812
03/02/2023 00:00,0.6148
04/02/2023 00:00,0.5924
05/02/2023 00:00,0.5896
06/02/2023 00:00,0.5638
07/02/2023 00:00,0.7086
08/02/2023 00:00,0.7125
09/02/2023 00:00,0.6949
10/02/2023 00:00,0.7081
11/02/2023 00:00,0.6172
12/02/2023 00:00,0.4051
13/02/2023 00:00,0.4358
14/02/2023 00:00,0.6513
15/02/2023 00:00,0.5957
16/02/2023 00:00,0.708
17/02/2023 00:00,0.7146
18/02/2023 00:00,0.7408
19/02/2023 00:00,0.6454
20/02/2023 00:00,0.5482
21/02/2023 00:00,0.7162
22/02/2023 00:00,0.7008
23/02/2023 00:00,0.6957
24/02/2023 00:00,0.66
25/02/2023 00:00,0.7305
26/02/2023 00:00,0.7074
27/02/2023 00:00,0.7021
28/02/2023 00:00,0.7019
01/03/2023 00:00,0.7032
02/03/2023 00:00,0.7053
03/03/2023 00:00,0.7091
04/03/2023 00:00,0.7364
05/03/2023 00:00,0.6955
06/03/2023 00:00,0.7167
07/03/2023 00:00,0.7101
08/03/2023 00:00,0.6201
09/03/2023 00:00,0.0001
10/03/2023 00:00,0.0039
11/03/2023 00:00,0.0181
12/03/2023 00:00,0.0021
13/03/2023 00:00,0.0033
14/03/2023 00:00,0.0015
15/03/2023 00:00,0.0025
16/03/2023 00:00,0.0002
17/03/2023 00:00,0.0002
18/03/2023 00:00,0.0002
19/03/2023 00:00,0.0002
20/03/2023 00:00,0.0002
21/03/2023 00:00,0.0007
22/03/2023 00:00,0.004
23/03/2023 00:00,0.0002
24/03/2023 00:00,0.0093
25/03/2023 00:00,0.013
26/03/2023 00:00,0.0008
27/03/2023 00:00,0.0038
28/03/2023 00:00,0.0053
29/03/2023 00:00,0.2538
30/03/2023 00:00,0.0
31/03/2023 00:00,0.0001
01/04/2023 00:00,0.0208
02/04/2023 00:00,0.0018
03/04/2023 00:00,0.0084
04/04/2023 00:00,0.0043
05/04/2023 00:00,0.0024
06/04/2023 00:00,0.0172
07/04/2023 00:00,0.0
08/04/2023 00:00,0.0
09/04/2023 00:00,0.0
10/04/2023 00:00,0.0
11/04/2023 00:00,0.0
12/04/2023 00:00,0.0
13/04/2023 00:00,0.0
14/04/2023 00:00,0.0
15/04/2023 00:00,0.0
16/04/2023 00:00,0.0
17/04/2023 00:00,0.0
18/04/2023 00:00,0.0
19/04/2023 00:00,0.0048
20/04/2023 00:00,0.007
